	Astrocyte	Excitatory	Inhibitory	Oligodendrocyte	Microglia	OPC	unknown	Endothelial
20996621	0.47635594	0.042326573	0.15519455	0.16954792	0.0	0.011525577	0.07718582	0.06786368
20998065	0.3475665	0.10577989	0.17360246	0.20419252	0.0	0.0084308805	0.091449566	0.0689782
21000180	0.4520665	0.041617814	0.15812656	0.2012934	0.0	0.0	0.065343216	0.0815525
21000504	0.44734785	0.024761187	0.14139374	0.18315125	0.006098456	0.019902874	0.08883951	0.08850513
21000630	0.48679134	0.020926785	0.13228126	0.1607628	0.0	0.019107938	0.07801009	0.102119744
21001519	0.45837188	0.04278521	0.1446092	0.15748739	0.0	0.020451099	0.08930297	0.08699221
21001807	0.4437981	0.023433695	0.14738664	0.1946847	0.009187579	0.017784381	0.080832556	0.082892366
21001933	0.4421793	0.041671585	0.15069824	0.18774065	0.0	0.014795067	0.08277029	0.08014487
21002524	0.4762639	0.01622596	0.14384347	0.17549023	0.0062649604	0.019933548	0.08155881	0.08041914
21101658	0.43005806	0.026175678	0.14733183	0.22229184	0.0	0.01264822	0.07710807	0.08438626
21112011	0.45413378	0.053222246	0.15952434	0.1806927	0.0	0.009878817	0.07178427	0.0707639
21117192	0.41963685	0.06694572	0.15176444	0.17864555	0.0	0.024445849	0.08348413	0.07507742
21126085	0.43276465	0.08690663	0.17440787	0.16995089	0.0	0.00813543	0.07247729	0.05535724
21138877	0.43341902	0.07797903	0.17427737	0.1998174	0.0	0.009590044	0.06105051	0.04386662
21140119	0.44838363	0.0	0.12495631	0.23166417	0.0	0.029949516	0.07472681	0.090319596
21155350	0.46340784	0.0	0.12723492	0.20725699	0.0065385336	0.012707037	0.07738328	0.10547132
21157370	0.42011294	0.029959729	0.14919981	0.20557372	0.010061601	0.0043670833	0.085239224	0.09548596
21174303	0.47953877	0.04092528	0.14780314	0.17324686	0.0	0.022538645	0.061247613	0.074699685
21176459	0.40734613	0.11229416	0.17745751	0.16663805	0.0	0.008463111	0.0701562	0.057644866
21181988	0.46197483	0.05255415	0.16029844	0.17404555	0.0	0.007162218	0.0728443	0.071120545
21183160	0.4629979	0.0	0.12675394	0.17229427	0.023211941	0.014819895	0.08979979	0.11012221
